"Item" "Item.Description" "Price"
"125" "4-FMA...!! 1 KG" "PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMA    Quanty:: 1 Kg   Purity:: 99 8% Powder *High Definition   ..." "7.5582225319999985 BTC"
"126" "200gr. 2 FMA FREE SHIP WITH TRACK" "2-Fluoromethamphetamine (2-FMA) is a stimulant drug from the amphetamine family which has rarely been found possessed as a designer drug.  This shipment is with tracking number. The shipment must b ..." "3.3681170859374996 BTC"
"133" "5gr. 2 FMA FREE SHIP WITH TRACK" "This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship." "0.736322822352941 BTC"
"135" "10gr. 2 FMA FREE SHIP WITH TRACK" "2-Fluoromethamphetamine (2-FMA) is a stimulant drug from the amphetamine family which has rarely been found possessed as a designer drug.  This shipment is with tracking number. The shipment must b ..." "1.1274057534374995 BTC"
"150" "2-FMA...!! 1 KG" "PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  2-FMA    Quanty:: 1 Kg   Purity:: 99 8% Powder *High Definition   ..." "7.492179985161289 BTC"
"160" "4-FMA - 1000g" "IUPAC name : (RS)-1-(4-fluorophenyl)-N-methylpropan-2-amine  Pure 4-FMA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requir ..." "12.918817641102361 BTC"
"170" "2-FMA - 50g" "IUPAC name : (RS)-1-(2-fluorophenyl)-N-methylpropan-2-amine  Pure 2-FMA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requir ..." "1.48518858 BTC"
"190" "4-FMA...!! 200 GRAM" "PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMA    Quanty:: 200 gram   Purity:: 99 8% Powder *High Definition ..." "3.6306117564285723 BTC"
"200" "500gr. 2 FMA FREE SHIP WITH TRACK" "2-Fluoromethamphetamine (2-FMA) is a stimulant drug from the amphetamine family which has rarely been found possessed as a designer drug.  This shipment is with tracking number. The shipment must b ..." "4.712075772727273 BTC"
"202" "2-FMA...!! 50 GRAM" "PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  2-FMA    Quanty:: 50 gram   Purity:: 99 8% Powder *High Definition  ..." "1.3159907421428572 BTC"
"205" "2-FMA...!! 200 GRAM" "PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  2-FMA    Quanty:: 200 gram   Purity:: 99 8% Powder *High Definition ..." "3.5619944464285718 BTC"
"209" "4-FMA...!! 100 GRAM" "PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************  Item::  4-FMA    Quanty:: 100 gram   Purity:: 99 8% Powder *High Definition ..." "1.7580312203448276 BTC"
"227" "4-FMA - 10g" "IUPAC name : (RS)-1-(4-fluorophenyl)-N-methylpropan-2-amine  Pure 4-FMA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requir ..." "0.8159331471999997 BTC"
"229" "2-FMA - 500g" "IUPAC name : (RS)-1-(2-fluorophenyl)-N-methylpropan-2-amine  Pure 2-FMA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requir ..." "6.84129528652174 BTC"
"230" "2-FMA - 10g" "IUPAC name : (RS)-1-(2-fluorophenyl)-N-methylpropan-2-amine  Pure 2-FMA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requir ..." "0.5938524875 BTC"
"231" "4-FMA - 5g" "IUPAC name : (RS)-1-(4-fluorophenyl)-N-methylpropan-2-amine  Pure 4-FMA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requir ..." "0.6184109049606298 BTC"
